date,total
2025-05-20,1190650.1850
2025-05-21,1196107.0576
2025-05-22,1204667.6892
2025-05-23,1207267.1866
2025-05-27,1209943.1416
2025-05-28,1214085.5489
2025-05-29,1212027.9550
2025-05-30,1204965.7008
2025-06-02,1202158.3872
2025-06-03,1205302.6016
2025-06-04,1206361.5011
2025-06-05,1204059.3308
2025-06-06,1202863.7624
2025-06-09,1206443.6342
2025-06-10,1210398.6761
2025-06-11,1211841.9698
2025-06-12,1212690.9854
2025-06-13,1215621.6163
2025-06-16,1219447.9522
2025-06-17,1221649.3925
2025-06-18,1224433.0889
2025-06-23,1228717.4675
2025-06-24,1234256.9748
2025-06-25,1239367.7333
2025-06-26,1241563.7375
2025-06-27,1246075.3673
2025-06-30,1247176.5667
2025-07-01,1245018.1190
2025-07-02,1246991.9398
2025-07-03,1249763.9780
2025-07-07,1254991.8311
2025-07-08,1255570.1319
2025-07-09,1257415.3075
2025-07-10,1267455.7753
2025-07-11,1276304.6595
2025-07-14,1278971.4958
2025-07-15,1282603.1859
2025-07-16,1289239.8805
2025-07-17,1293469.4195
2025-07-18,1297330.0166
2025-07-21,1295894.6583
2025-07-22,1294925.5814
2025-07-23,1294218.1386
2025-07-24,1295694.8274
2025-07-25,1297470.5871
2025-07-28,1298489.5791
2025-07-29,1299612.9126
2025-07-30,1299668.9985
2025-07-31,1298606.4911
2025-08-01,1292697.7103
2025-08-04,1288596.4318
2025-08-05,1286953.6691
2025-08-06,1287401.0764
2025-08-07,1289351.5052
2025-08-08,1293148.1939
2025-08-11,1294539.1518
2025-08-12,1295456.0540
2025-08-13,1295868.5369
2025-08-14,1297899.6381
2025-08-15,1298488.0131
2025-08-18,1296724.9683
2025-08-19,1293142.0256
2025-08-20,1289409.3603
2025-08-21,1287526.2465
2025-08-22,1287085.3072
2025-08-25,1289142.2967
2025-08-26,1289970.8463
2025-08-27,1290755.0392
2025-08-28,1292332.7195
2025-08-29,1291322.9759
2025-09-02,1294012.0955
2025-09-03,1296610.8104
2025-09-04,1295159.9539
2025-09-05,1293586.8444
2025-09-08,1296014.4253
2025-09-09,1296607.9495
2025-09-10,1302948.0128
2025-09-11,1308034.9984
2025-09-12,1313603.6259
2025-09-15,1315782.9850
2025-09-16,1318281.1779
2025-09-17,1318221.8277
2025-09-18,1319072.6325
2025-09-19,1321264.8127
2025-09-22,1317931.9835
2025-09-23,1316799.7306
2025-09-24,1318744.2495
2025-09-25,1317226.1341
2025-09-26,1313125.1891
2025-09-29,1315883.0595
2025-09-30,1320869.6688
2025-10-01,1326689.8359
2025-10-02,1331968.3117
2025-10-03,1339581.3603
2025-10-06,1349193.2748
2025-10-07,1356950.2993
2025-10-08,1360266.9006
2025-10-09,1362277.8657
2025-10-10,1361942.5474
2025-10-13,1360239.2488
2025-10-14,1359789.9577
2025-10-15,1359692.1578
2025-10-16,1354559.7851
2025-10-17,1350720.5843
2025-10-20,1349751.3807
2025-10-21,1354014.6797
2025-10-22,1354315.2863
2025-10-23,1354101.7294
2025-10-24,1354347.0359
2025-10-27,1355556.6799
2025-10-28,1357390.7760
2025-10-29,1353755.9994
2025-10-30,1348839.0633
2025-10-31,1346730.7246
2025-11-03,1344980.7967
2025-11-04,1339875.7705
2025-11-05,1337652.7198
2025-11-06,1340072.9639
2025-11-07,1334800.5048
2025-11-10,1334652.3486
2025-11-11,1339503.1233
2025-11-12,1337220.7787
2025-11-13,1332428.9288
2025-11-14,1323533.5431
2025-11-17,1320829.3238
2025-11-18,1314679.2690
2025-11-19,1316618.0588
2025-11-20,1309284.0179
2025-11-21,1307135.5332
2025-11-24,1307244.6352
2025-11-25,1309562.8609
2025-11-26,1309303.6754
2025-11-28,1309912.5295
2025-12-01,1310163.9399
2025-12-02,1310797.1418
2025-12-03,1310844.4319
